ID,FAULT_TYPE,POLYGON_AREA [ha],CENTER_POLYGON_X,CENTER_POLYGON_Y
1,Debris Flow,46.18591,-72.85179715906908,-45.376683775641816
2,Debris Flow,8.14068,-72.82608546821609,-45.37602942472865
3,Debris Flow,3.19689,-72.80118179325052,-45.375985090039165
4,Debris Flow,24.41611,-72.98188679739665,-45.33768548076213
5,Debris Flow,16.03278,-72.94972878001659,-45.403384687330124
6,Debris Flow,49.73109,-72.92037959694353,-45.40158643065052
7,Debris Flow,3.22698,-72.87366721551683,-45.38438760078628
8,Mud Slide,0.66515,-73.00585508976334,-45.38590580869148
9,Mud Slide,1.15632,-72.98980891893909,-45.38628877504926
10,Mud Slide,0.29172,-73.02010459341463,-45.378246740373854
11,Mud Slide,0.305,-73.01905451008969,-45.377985330137136
12,Mud Slide,0.36465,-73.03101599551539,-45.37120088126654
13,Mud Slide,0.51091,-73.02155771097198,-45.369522809566114
14,Mud Slide,0.17465,-73.02023450857308,-45.36886100971987
15,Mud Slide,5.7902,-73.03712749306371,-45.32774775071066
16,Mud Slide,3.31175,-73.03256857526762,-45.32792538388685
17,Mud Slide,3.50777,-72.97398286030804,-45.36840562579879
18,Mud Slide,2.64233,-72.97257936220075,-45.37252652877835
19,Mud Slide,13.55321,-72.9468292706553,-45.30914839795353
20,Mud Slide,12.29693,-72.94565242449099,-45.31154360598959
21,Mud Slide,1.96839,-73.09055535514184,-45.321065184867656
22,Mud Slide,0.46717,-73.10110232294761,-45.31597023348252
23,Mud Slide,0.53932,-73.1007920034847,-45.314907791841215
24,Mud Slide,0.39563,-73.10099173983447,-45.31431180092907
25,Mud Slide,0.44939,-73.08391109744902,-45.30689411039945
26,Mud Slide,0.3393,-73.08186893743486,-45.30607364456757
27,Mud Slide,0.27895,-73.1468162057224,-45.382637402457554
28,Mud Slide,0.57302,-73.14554756501082,-45.38294288682682
29,Mud Slide,0.80469,-73.10352321649654,-45.421971779675886
30,Mud Slide,14.39887,-73.0998198931673,-45.42384302314739
31,Mud Slide,0.65613,-73.0953265811888,-45.42421202452658
32,Mud Slide,0.3819,-73.10961081384204,-45.42598493604183
33,Mud Slide,0.53567,-73.10755560577137,-45.42733557566882
34,Mud Slide,0.55102,-73.10765841383721,-45.42807660784154
35,Mud Slide,0.66201,-73.10749782195316,-45.43044987466196
36,Mud Slide,0.50506,-73.10638381392151,-45.43156254151886
37,Mud Slide,6.96443,-73.09123194631373,-45.410433463756284
38,Mud Slide,0.28732,-73.0232884075608,-45.424848711208824
39,Mud Slide,0.21933,-73.02345076728251,-45.42453997499445
40,Mud Slide,0.95217,-72.8574840625352,-45.378885586045726
41,Mud Slide,0.33027,-72.85492210300993,-45.37958273614395
42,Mud Slide,3.0682,-72.83391241437042,-45.38055399590069
43,Mud Slide,0.97016,-72.82743364470738,-45.37884042679159
44,Mud Slide,1.08938,-72.8234530665613,-45.3769120345427
45,Mud Slide,0.20648,-72.80425240240943,-45.37626862919724
46,Mud Slide,2.44227,-72.85273592082639,-45.31294047817086
47,Mud Slide,2.39861,-72.85201896734206,-45.313991679859974
48,Mud Slide,3.29973,-72.84774219011186,-45.318345607553866
49,Mud Slide,1.03493,-72.71275680707535,-45.5000898407517
50,Mud Slide,1.25719,-72.51354127044084,-45.40224770881424
51,Mud Slide,4.66683,-72.48961502378837,-45.41949674186244
52,Mud Slide,3.18695,-73.03342420295819,-45.311562486531635
53,Mud Slide,2.52135,-73.02921985487593,-45.30912436444813
54,Mud Slide,1.31433,-73.03574334275791,-45.30815452001045
55,Mud Slide,1.59323,-73.03825008456543,-45.280385282119525
56,Mud Slide,2.59919,-73.03618368513739,-45.27963946109557
57,Mud Slide,1.32673,-73.03655029936259,-45.27772293562592
58,Mud Slide,2.0315,-73.0182165523602,-45.24353377019765
59,Mud Slide,1.39854,-73.01704387580504,-45.24307065111259
60,Mud Slide,0.91176,-73.01618369876236,-45.242471914941234
61,Mud Slide,1.48266,-72.99574383956,-45.23251284906792
62,Mud Slide,1.60199,-72.89314633874676,-45.20872034005891
63,Mud Slide,4.0621,-73.0124369205452,-45.290487088946605
64,Mud Slide,4.55816,-73.00673507602342,-45.28955395014729
65,Mud Slide,2.00111,-73.00930006045265,-45.282392608431124
66,Mud Slide,1.14442,-73.01504816832748,-45.27389515779148
67,Mud Slide,2.82298,-73.03764796329882,-45.2833659070556
68,Mud Slide,3.55776,-73.03600565476466,-45.29116861434341
69,Mud Slide,1.40374,-73.04015025628277,-45.293235268159066
70,Mud Slide,1.91713,-73.01675633264159,-45.3644912794221
71,Mud Slide,1.22876,-73.01589528043067,-45.363716302294705
72,Mud Slide,2.56606,-73.01798236138873,-45.36525788601052
73,Mud Slide,1.16249,-72.98138605616066,-45.37098766475906
74,Mud Slide,1.6223,-72.97847744602228,-45.3717176767077
75,Mud Slide,3.28559,-73.08487098267848,-45.41414998023156
76,Mud Slide,0.43005,-73.10994274174038,-45.423912708020886
77,Mud Slide,0.14257,-73.14755254528431,-45.38232861651852
78,Mud Slide,0.15762,-73.14809765310072,-45.382369032906546
79,Mud Slide,0.54914,-72.88601952690018,-45.538303818969744
80,Mud Slide,1.7534,-72.95076938464373,-45.52184121103973
81,Mud Slide,0.55733,-72.9476987414571,-45.511978079787795
82,Mud Slide,1.27523,-72.94453944899112,-45.509134723899265
83,Mud Slide,0.90378,-73.09210946526075,-45.45513904315565
84,Mud Slide,0.12641,-73.08852829761233,-45.45462781033401
85,Mud Slide,0.1579,-73.14271217574648,-45.421492577196204
86,Mud Slide,0.36641,-73.14428247767604,-45.42292230563603
87,Mud Slide,0.55598,-73.04513160649071,-45.32550008621779
88,Mud Slide,0.21821,-73.04622449500134,-45.32825014565176
89,Mud Slide,2.02311,-73.01397530329619,-45.34117797758206
90,Mud Slide,0.23247,-73.02507746276501,-45.37472821383301
91,Mud Slide,0.11801,-73.00881002623568,-45.38105940911901
92,Mud Slide,0.69392,-73.01026543186768,-45.38360150347786
93,Mud Slide,0.38763,-72.98028785725498,-45.37178155318542
94,Mud Slide,5.87926,-73.04894108967817,-45.24462716070933
95,Mud Slide,0.60379,-73.1021820443133,-45.24292837203282
96,Mud Slide,0.39539,-73.02804587615658,-45.26882111590755
97,Mud Slide,0.25305,-73.01192981903779,-45.27299358617379
98,Mud Slide,0.27952,-73.01104888447122,-45.275092465753744
99,Mud Slide,0.89501,-73.0081579002599,-45.296925228755555
100,Mud Slide,1.10425,-73.00860466348026,-45.30193103482628
101,Mud Slide,0.5164,-73.03204953947936,-45.30790787081724
102,Mud Slide,1.62746,-73.031845527869,-45.31641560194941
103,Mud Slide,1.98499,-72.97568267858362,-45.33800798983949
104,Mud Slide,1.81868,-72.97550654150548,-45.340675197279566
105,Mud Slide,1.03105,-72.97540096610993,-45.34123616866404
106,Mud Slide,2.54788,-72.97380035735318,-45.34244507740509
107,Mud Slide,2.63121,-72.97287457154246,-45.34450295180156
108,Mud Slide,0.43223,-72.97473364680293,-45.344712070036046
109,Mud Slide,12.15421,-72.96641136630804,-45.33558747290672
110,Mud Slide,6.61377,-72.96305474654092,-45.33665776577349
111,Mud Slide,0.13292,-72.96227723813976,-45.339946017478894
112,Mud Slide,0.16064,-72.96284689792782,-45.340023467639625
113,Mud Slide,0.94015,-72.94759366573392,-45.31347022431468
114,Mud Slide,0.28908,-72.97053887850414,-45.35110269068428
115,Mud Slide,1.07158,-72.96782015635428,-45.3529094315572
116,Mud Slide,0.50537,-72.96489794754419,-45.35569962332195
117,Mud Slide,2.03024,-72.96702610892797,-45.35506746968859
118,Mud Slide,0.57423,-72.96530956079697,-45.358960940401495
119,Mud Slide,0.65884,-72.96672639248828,-45.36150052904762
120,Mud Slide,4.58694,-72.98923604997157,-45.394490936859206
121,Mud Slide,0.70133,-72.98295583720676,-45.39671132162939
122,Mud Slide,0.27205,-72.9812845769191,-45.395433688699335
123,Mud Slide,0.70028,-72.98225774682388,-45.39600342752184
124,Mud Slide,0.12691,-72.98305794725506,-45.40450812663371
125,Mud Slide,0.16537,-72.9836145996126,-45.40456624141094
126,Mud Slide,0.26404,-72.98239047346904,-45.404321734638266
127,Mud Slide,0.25482,-72.98154258090055,-45.404075770963104
128,Mud Slide,0.24274,-72.94384428431454,-45.405920899711305
129,Mud Slide,5.43186,-72.94083095675097,-45.405895007927775
130,Mud Slide,3.09177,-72.94250257400013,-45.40599009659538
131,Mud Slide,12.54463,-72.93767153263427,-45.40282089168246
132,Mud Slide,0.63984,-72.93608073972068,-45.40392445660184
133,Mud Slide,3.60699,-72.9166082186537,-45.38768640887691
134,Mud Slide,0.97009,-72.92350527776193,-45.401583280618645
135,Mud Slide,1.09035,-72.92369665517779,-45.40296484284191
136,Mud Slide,2.63581,-72.88407917164896,-45.40423476284844
137,Mud Slide,1.28662,-72.87522821201263,-45.38455920443396
138,Mud Slide,0.47826,-72.8706854008179,-45.38352439343766
139,Mud Slide,2.47783,-72.77242043353301,-45.38844775770644
140,Mud Slide,1.46473,-72.73543186126398,-45.39851952765081
141,Mud Slide,3.49634,-72.74594961377959,-45.369438520498015
142,Mud Slide,0.04847,-72.61208257427568,-45.34666141200322
143,Rock Slide,13.24634,-73.0010544514135,-45.386466533472
144,Rock Slide,4.8856,-72.99700089889657,-45.37451146850407
145,Rock Slide,1.32395,-73.01773340460511,-45.384589059590056
146,Rock Slide,0.38506,-73.03074353538217,-45.3733295487412
147,Rock Slide,3.68364,-73.03146371754104,-45.352647264361394
148,Rock Slide,0.21269,-73.03065363303955,-45.35447266818104
149,Rock Slide,2.35952,-73.0271232734034,-45.35209818269896
150,Rock Slide,15.08182,-73.02933892261548,-45.3471286833339
151,Rock Slide,2.75389,-73.02320908424767,-45.342852176745616
152,Rock Slide,2.7819,-73.02282674318148,-45.34131270784049
153,Rock Slide,1.88301,-73.01574505176876,-45.3415563062321
154,Rock Slide,3.22502,-72.99809111837573,-45.338422655578775
155,Rock Slide,4.37616,-72.9928717225606,-45.3386591779444
156,Rock Slide,0.80534,-72.95613343556307,-45.32920307067534
157,Rock Slide,8.23923,-73.04834465776476,-45.32959206602181
158,Rock Slide,15.43825,-73.02939114963955,-45.32803256327172
159,Rock Slide,0.07542,-73.010839952248,-45.33065597004652
160,Rock Slide,0.20277,-73.0104485533457,-45.330895413061356
161,Rock Slide,0.20753,-73.00971719262056,-45.33096043067425
162,Rock Slide,1.22111,-73.00921538373,-45.33163751306385
163,Rock Slide,9.66541,-72.99724417454914,-45.32899495792563
164,Rock Slide,0.85326,-72.99120740200058,-45.328840354973956
165,Rock Slide,0.21208,-72.97837312892126,-45.323514256919026
166,Rock Slide,2.39091,-72.97165190316406,-45.324717401058656
167,Rock Slide,0.94639,-72.97426165634005,-45.324596467222506
168,Rock Slide,2.42164,-73.00817894757141,-45.320818726447754
169,Rock Slide,0.19599,-73.00841903010215,-45.31849853488862
170,Rock Slide,0.12863,-73.00719632450266,-45.31685992366686
171,Rock Slide,3.70481,-72.9368923817589,-45.302990010713216
172,Rock Slide,15.5443,-72.91698832387749,-45.32494939641391
173,Rock Slide,16.28513,-72.91369301218518,-45.32844323051528
174,Rock Slide,1.66512,-72.9162761856369,-45.332983879598544
175,Rock Slide,3.18876,-72.91577223996536,-45.33417183231641
176,Rock Slide,7.92048,-72.91136301185655,-45.335168032585045
177,Rock Slide,1.47089,-73.0741007044699,-45.32989885072834
178,Rock Slide,1.79642,-73.10122897579109,-45.29966537201783
179,Rock Slide,0.37389,-73.09812504546458,-45.292608999586555
180,Rock Slide,2.01681,-73.09798665265409,-45.29538194076637
181,Rock Slide,0.88526,-73.1485437056653,-45.274594247697024
182,Rock Slide,0.86262,-73.1441841582772,-45.274643291331564
183,Rock Slide,0.37102,-73.14944561102783,-45.32407415777804
184,Rock Slide,0.32495,-73.15014129555426,-45.32693820126817
185,Rock Slide,0.19663,-73.15523168836691,-45.336772426203524
186,Rock Slide,0.80099,-73.16190548697212,-45.35239757073034
187,Rock Slide,0.32617,-73.15043185666966,-45.35521551078951
188,Rock Slide,0.63259,-73.14474887639399,-45.37833138686685
189,Rock Slide,0.3538,-73.14786328596445,-45.38118975707753
190,Rock Slide,1.04827,-73.14440066591511,-45.380762778891345
191,Rock Slide,0.38052,-73.12901977559112,-45.38405043524241
192,Rock Slide,2.18682,-73.11677213179898,-45.38839034362402
193,Rock Slide,6.02526,-73.13823647244179,-45.400091337914226
194,Rock Slide,0.36361,-73.11940403035271,-45.40895055873347
195,Rock Slide,0.20117,-73.11815442060706,-45.40867133390999
196,Rock Slide,0.25754,-73.11702059560021,-45.40893003909907
197,Rock Slide,11.99657,-73.01549559038864,-45.42928197408037
198,Rock Slide,2.13526,-72.87832306846437,-45.501479579914026
199,Rock Slide,1.00664,-72.89636436482688,-45.41757102268035
200,Rock Slide,13.15645,-72.84346221984046,-45.36825937079749
201,Rock Slide,0.30447,-72.86044662577862,-45.377334388787546
202,Rock Slide,0.29851,-72.85806840705429,-45.37729490523913
203,Rock Slide,0.84264,-72.85579401457056,-45.37708912667064
204,Rock Slide,0.62802,-72.85631146583245,-45.37810314029817
205,Rock Slide,0.97843,-72.85588425044023,-45.38031876750255
206,Rock Slide,1.91665,-72.84787896203203,-45.37690592996249
207,Rock Slide,1.94943,-72.84709407997147,-45.3788753353877
208,Rock Slide,1.53289,-72.80489298799448,-45.37342428105278
209,Rock Slide,1.3615,-72.8045492925237,-45.37137339953379
210,Rock Slide,1.61389,-72.80383279630742,-45.371137492422676
211,Rock Slide,0.62445,-72.80478956187383,-45.37695063208649
212,Rock Slide,0.97703,-72.79531205735938,-45.378762846339804
213,Rock Slide,0.8447,-72.73304676818401,-45.33967140154415
214,Rock Slide,0.60273,-72.7323564605364,-45.34133916002082
215,Rock Slide,0.58604,-72.73390150898038,-45.34225862214237
216,Rock Slide,6.1954,-72.73348046359628,-45.31670770894173
217,Rock Slide,4.66281,-72.77856991102261,-45.28471886749396
218,Rock Slide,3.48411,-72.80523600433774,-45.238647609139065
219,Rock Slide,1.18934,-72.80603423876617,-45.23627858085873
220,Rock Slide,1.47463,-72.83496991170799,-45.23261757596915
221,Rock Slide,0.72013,-72.6447645605325,-45.319873112851035
222,Rock Slide,2.09131,-72.64854353309771,-45.31753588787964
223,Rock Slide,2.37275,-72.64704968782526,-45.31520751805105
224,Rock Slide,1.81722,-72.71672326527646,-45.464538635140485
225,Rock Slide,0.30501,-73.02772729926824,-45.313392826753464
226,Rock Slide,0.32979,-73.02571891018522,-45.315542658970436
227,Rock Slide,0.58663,-73.0126685687937,-45.27878264615163
228,Rock Slide,0.33941,-73.01310334551214,-45.28125770866884
229,Rock Slide,2.36795,-72.97635608022492,-45.48448298800847
230,Rock Slide,2.40394,-72.98250775139579,-45.49018687925578
231,Rock Slide,0.7602,-72.98193270456883,-45.48763068096166
232,Rock Slide,0.73654,-72.97804322508843,-45.48526806433477
233,Rock Slide,1.1029,-72.9740563177971,-45.489205924970975
234,Rock Slide,4.46591,-72.91888163728657,-45.4906796796939
235,Rock Slide,1.05297,-72.99391252845425,-45.528403774501214
236,Rock Slide,1.72404,-72.99518215907592,-45.52518582724883
237,Rock Slide,6.53562,-72.868994014102,-45.36193079707252
238,Rock Slide,2.88197,-72.8707699461891,-45.3669005654284
239,Rock Slide,1.54288,-72.86681145533413,-45.36759260829554
240,Rock Slide,13.43215,-72.86074247076078,-45.37055650749214
241,Rock Slide,0.72673,-72.79554904091484,-45.37394962195523
242,Rock Slide,13.1719,-73.04127270182168,-45.328256349999656
243,Rock Slide,0.83011,-73.05378545227907,-45.41150077297792
244,Rock Slide,0.8383,-73.05330195189637,-45.412426684978605
245,Rock Slide,0.34305,-73.04272169338861,-45.41989637846039
246,Rock Slide,0.21083,-73.0417804690237,-45.41959909037508
247,Rock Slide,0.34678,-73.04307193287727,-45.41961570001745
248,Rock Slide,0.24656,-72.94984996095357,-45.457858840458435
249,Rock Slide,2.18599,-72.91852648971236,-45.407851656633916
250,Rock Slide,2.28666,-73.02343803745337,-45.360915113163514
251,Rock Slide,1.19993,-73.02323701692872,-45.360028932343205
252,Rock Slide,6.16492,-73.02176017371757,-45.36162681086524
253,Rock Slide,2.07304,-73.01916751295433,-45.36666149265086
254,Rock Slide,4.03174,-72.98798447775256,-45.37426700923852
255,Rock Slide,4.13199,-72.90357309023535,-45.500377803987476
256,Rock Slide,0.28262,-72.91930016562604,-45.483844326033854
257,Rock Slide,0.12335,-72.93090236578192,-45.46422429404957
258,Rock Slide,0.10963,-72.92929405950463,-45.463272204614555
259,Rock Slide,1.12439,-73.03790824099943,-45.46761834402684
260,Rock Slide,0.75633,-72.99911627914422,-45.4811296002178
261,Rock Slide,2.12628,-73.01466473814575,-45.43136464786917
262,Rock Slide,0.06508,-73.05397014640349,-45.427858893225036
263,Rock Slide,0.20591,-73.11825184254823,-45.40059237617144
264,Rock Slide,0.39212,-73.1376387066395,-45.40254923942002
265,Rock Slide,0.24813,-73.13623025353822,-45.39999639815916
266,Rock Slide,1.05547,-73.13550492522272,-45.399412580914706
267,Rock Slide,0.12392,-73.13023600865965,-45.39989268630614
268,Rock Slide,0.17953,-73.1298623540207,-45.39820168971637
269,Rock Slide,0.71646,-73.13052916461541,-45.396056304425414
270,Rock Slide,0.50737,-73.12856009874037,-45.394437628362205
271,Rock Slide,0.78611,-73.12734126643613,-45.39307107575713
272,Rock Slide,0.296,-73.12680737569053,-45.39134324442542
